model,rank,lambda,epoch,optimizer,NDCG,R-Precision
CDAE,200,1e-05,439,RMSProp,0.1605,0.0947
CDAE,200,1e-05,459,RMSProp,0.1609,0.0949
CDAE,200,1e-05,479,RMSProp,0.161,0.0947
CDAE,200,1e-05,499,RMSProp,0.1613,0.0951
CDAE,200,1e-05,519,RMSProp,0.1611,0.0951
CDAE,200,1e-05,539,RMSProp,0.1614,0.0948
CDAE,200,1e-05,559,RMSProp,0.1616,0.0949
CDAE,200,1e-05,579,RMSProp,0.1621,0.0955
CDAE,200,1e-05,599,RMSProp,0.1622,0.0953
CDAE,200,1e-05,619,RMSProp,0.1621,0.0954
CDAE,200,1e-05,639,RMSProp,0.1624,0.0955
CDAE,200,1e-05,659,RMSProp,0.1625,0.0955
CDAE,200,1e-05,679,RMSProp,0.1624,0.0955
CDAE,200,1e-05,699,RMSProp,0.1627,0.0956
CDAE,200,1e-05,719,RMSProp,0.1627,0.0957
CDAE,200,1e-05,739,RMSProp,0.1626,0.0952
CDAE,200,1e-05,759,RMSProp,0.1627,0.0954
CDAE,200,1e-05,779,RMSProp,0.1631,0.0957
CDAE,200,1e-05,799,RMSProp,0.1626,0.0953
CDAE,200,1e-05,819,RMSProp,0.1627,0.0955
CDAE,200,1e-05,839,RMSProp,0.1624,0.0952
CDAE,200,1e-05,859,RMSProp,0.1627,0.0956
CDAE,200,1e-05,879,RMSProp,0.1626,0.0952
CDAE,200,1e-05,899,RMSProp,0.1628,0.0951
CDAE,200,1e-05,919,RMSProp,0.1627,0.0953
CDAE,200,1e-05,939,RMSProp,0.1629,0.0954
CDAE,200,1e-05,959,RMSProp,0.1629,0.0958
CDAE,200,1e-05,979,RMSProp,0.1629,0.0952
CDAE,200,1e-05,999,RMSProp,0.163,0.0953
VAE-CF,200,1e-05,19,RMSProp,0.1444,0.0877
